Series Name,Country Name,1970 [YR1970],1975 [YR1975],1980 [YR1980],1985 [YR1985],1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015]
Age dependency ratio (% of working-age population),Afghanistan,88.12683234,91.28434614,93.6668758,98.02325746,101.0949299,100.4762657,103.2542023,99.07844434,99.45983891,86.95446405
Age dependency ratio (% of working-age population),Albania,85.54006984,78.51256356,70.213117,64.98167805,61.80831093,64.20382021,59.58586564,53.54686374,47.8850759,44.80697279
Age dependency ratio (% of working-age population),Algeria,101.510271,101.3137546,98.86848607,95.13170103,87.6757054,76.51747174,62.8861694,51.66594446,48.68185306,52.61757885
Age dependency ratio (% of working-age population),American Samoa,..,..,..,..,..,..,..,..,..,..
Age dependency ratio (% of working-age population),Andorra,..,..,..,..,..,..,..,..,..,..
Age dependency ratio (% of working-age population),Angola,94.87426512,96.17332328,98.39524042,100.376626,101.3947218,100.9006643,100.930475,101.7806044,102.0356901,99.85575099
Age dependency ratio (% of working-age population),Antigua and Barbuda,79.3339003,73.15847377,63.61626364,56.27287854,60.61541655,60.79469264,56.98198654,55.26741387,50.3006599,45.65038071
Age dependency ratio (% of working-age population),Arab World,93.7119309,93.08752825,91.68677567,89.52003671,87.69785651,82.11669859,74.2915368,67.03336512,62.0535047,61.75419398
Age dependency ratio (% of working-age population),Argentina,57.02042511,58.25452624,62.70142746,65.19920866,65.74592462,63.08208713,61.0213059,58.8036203,56.92908758,56.5453597
Age dependency ratio (% of working-age population),Armenia,80.99279811,67.09144452,57.1655465,55.17253878,56.23097906,60.91486398,55.89664321,50.38410104,45.05936012,41.26264721
Age dependency ratio (% of working-age population),Aruba,70.43224838,59.82451055,50.07116993,46.72688332,47.50083068,43.53412076,44.42077823,42.98313322,45.1572345,43.95238953
Age dependency ratio (% of working-age population),Australia,59.40616837,56.81607518,53.55017366,51.1312304,49.53554872,50.19250271,49.68904726,48.59637165,48.15559581,50.92736435
Age dependency ratio (% of working-age population),Austria,62.72219045,61.29745769,55.4444439,47.48732952,46.59883299,48.92864303,47.41429562,47.31058565,48.09766643,49.17973629
