Desc,Cantidad,Valor,Fecha,Lugar,UUID
CONSUMO,1,412.07,2014-08-06T23:08:07,14320,38BD37F1-06E9-476B-8779-E6E8139B2586
CONSUMO DE ALIMENTOS,1,215.52,2014-03-31T21:50:24,47400,2BE26034-ED04-407A-ACE7-51764EEBE8CF
CONSUMO DE ALIMENTOS,1,128.45,2014-08-19T15:16:26,40933,9b24977d-8e67-4b0f-a55f-c0e886561b9d
PAGO POR USO DE ESTACIONAMIENTO,1,775.86,2014-08-07T19:26:14,52763,6FAEBEF1-2CCB-4DAB-BD2F-E765EC093F56
COPIA CARTA B&N 1-99 HOJAS,59,0.6,2014-05-08T16:29:44,37200,4D3F3204-3699-42DE-A97B-8D0F990B54A5
IMPRESION CARTA B&N 1-99 HOJAS,60,0.6,2014-05-08T16:29:44,37200,4D3F3204-3699-42DE-A97B-8D0F990B54A5
MARCADOR SHARPIE COL SURTIDOS,1,40.95,2014-05-08T16:29:44,37200,4D3F3204-3699-42DE-A97B-8D0F990B54A5
PAPEL BRIGHT ORANGE CTA C/100,2,48.19,2014-05-08T16:29:44,37200,4D3F3204-3699-42DE-A97B-8D0F990B54A5
CINTA TRANSP OD 48x50 6pk,1,68.88,2014-05-08T16:29:44,37200,4D3F3204-3699-42DE-A97B-8D0F990B54A5
SOBRE C/BROCHE MET CTA OD 25P,1,53.88,2014-05-08T16:29:44,37200,4D3F3204-3699-42DE-A97B-8D0F990B54A5
CONSUMO DE ALIMENTOS,1,258.62,2014-05-27T14:55:12,89118,087DDFEE-9BC7-4DAF-963E-D3247DF86DA8
PROPINA,1,30,2014-05-27T14:55:12,89118,087DDFEE-9BC7-4DAF-963E-D3247DF86DA8
CONSUMO,1,221.55,2014-08-12T20:52:48,72410,c286f974-9779-4a7f-82aa-1bd2a3764bfc
1 - CONSUMO DE ALIMENTOS,1,547.41,2014-08-14T17:13:07,97125,BCC38A18-55DC-4EF3-A15B-5896C5E66ED4
ALIMENTOS Y BEBIDA,1,87.24,2014-07-10T21:32:27,6300,8AF7095B-718C-4013-A458-BCACA4E3F5CD
ALIMENTOS Y BEBIDA,1,85.34,2014-07-10T21:32:27,6300,8AF7095B-718C-4013-A458-BCACA4E3F5CD
CONSUMO DE ALIMENTOS,1,118.1034,2014-09-24T10:39:30,96538,465A3005-F010-4108-9D53-D2A0E7D72101
CONSUMO,1,114.65517,2014-04-03T12:29:29,82110,506B858F-D7D0-4C9E-B921-C4DD1F752286
ALIMENTOS Y BEBIDA,1,71.55,2014-08-05T16:45:18,8100,EC8B2112-5ECF-4731-B3A3-F054E64B4B1C
ALIMENTOS Y BEBIDA,1,74.48,2014-08-05T16:45:18,8100,EC8B2112-5ECF-4731-B3A3-F054E64B4B1C
CONSUMO DE ALIMENTOS,1,631.9,2014-05-31T00:23:29,31020,D214506A-E370-4137-AE6E-2D74D122A37C
CREPE PASSPORT,1,116.38,2014-04-30T20:37:42,83104,02f50ace-2e4d-4b5b-98a7-590ce676bc65
SOLO CLARAS,1,8.62,2014-04-30T20:37:42,83104,02f50ace-2e4d-4b5b-98a7-590ce676bc65
CAFE,1,25.86,2014-04-30T20:37:42,83104,02f50ace-2e4d-4b5b-98a7-590ce676bc65
BATERIA P/AUTO 35-550 CODIGO 9 KIRKLAND,1,898.66,2014-08-18T20:07:46,22548,A85C855A-27D9-4382-BB0B-A9185563C6D2
CONSUMO DE ALIMENTOS,1,1146.55,2014-09-12T23:42:01,34000,05C1A00B-D6A7-4B96-81B7-1C13C7257AAE
PROPINA,1,133,2014-09-12T23:42:01,34000,05C1A00B-D6A7-4B96-81B7-1C13C7257AAE
CONSUMO,1,93.97,2014-09-10T12:04:13,11550,1EDC6359-1030-475F-A53F-C53D8F9F805C
CONSUMO,1,344.83,2014-06-05T16:55:32,81200,545E3014-3A5A-4F06-B71E-A18C9386DE51
Renta de Habitacion                (  3),1,3306.16,2014-03-21T09:52:00,25206,410ef750-16ba-47a4-9c9d-84b64036fa22
