UUID,CONSUMIBLES,CONSUMO,CONSUMO ,CONSUMO  DE ALIMENTOS,CONSUMO ***,CONSUMO ALIMENTOS,"CONSUMO ALIMENTOS Y BEBIDAS STARBUCKS APTO DE MTY, CHK 1896, 11-07-2014",CONSUMO BEBIDAS,CONSUMO CAFETERIA,CONSUMO DE ALIMENTO,CONSUMO DE ALIMENTOS
0019A60D-78F8-E341-8D3E-9786201FE017,0,0,0,0,0,0,0,0,0,0,0
003B8B8F-7017-E441-8C84-8C0EA577E29D,0,0,0,0,0,0,0,0,0,0,0
00536BC1-1B10-4146-A59B-36613090EF10,0,0,0,0,0,0,0,0,0,0,0
005BBAEE-ABEC-E341-8CED-15DA22D11F65,0,0,0,0,0,0,0,0,0,0,0
006C5F2E-CAE0-4498-9288-0241C1949D8A,0,0,0,0,0,0,0,0,0,0,0
0075D1FC-996D-4784-9755-2F4598D16163,0,0,0,0,0,0,0,0,0,0,0
00770E49-C200-460E-9023-A5B8AD3FCB5B,0,0,0,0,0,0,0,0,0,0,0
0078111B-C704-4D93-9CC7-65D650B41BDC,0,0,0,0,0,0,0,0,0,0,1
008D791A-53F1-E341-8C99-D9B2E10EA6EF,0,1,0,0,0,0,0,0,0,0,0
00991b18-155e-4754-9a5b-3e75ee753b35,0,0,0,0,0,0,0,0,0,0,0
009EE23A-16D1-4F74-9152-E93EA4624023,0,0,0,0,0,0,0,0,0,0,0
00A9AC1A-94EC-E341-8CA6-8AAA4E22D96D,0,0,0,0,0,0,0,0,0,0,0
00AF0BFE-6076-48A5-B4E0-C96E906303F4,1,0,0,0,0,0,0,0,0,0,0
00BE13E5-2A7F-4F98-A41B-4FC1A8039A2B,0,0,0,0,0,0,0,0,0,0,0
00CAE30D-1C8A-46E1-9D7B-930C40595CAA,0,0,0,0,0,0,0,0,0,0,0
00CD8711-6A20-4CED-B162-806FCB8D0306,0,1,0,0,0,0,0,0,0,0,0
00E90E74-90F7-4CEF-AE57-3AAB9EA7F38F,0,0,0,0,0,0,0,0,0,0,0
